STATE ABBREVIATION,STATE,DISTRICT,DISTRICT00,SPECIAL,JUNGLE,OPEN,ID_NUMCANDIDATES,ID_DISTRICTIDEOLOGY,NUMCANDIDATES,FECID,DISBURSEMENTS,TOTALDISBURSEMENT,DISBURSEMENTRATIO,INCUMBENT,CLOSEDSEAT,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME STANDARD,CANDIDATE NAME COMMA,PARTY,USERNAME,FOLLOWING,DWNOMINATE,CANDIDATEIDEOLOGY,RELIABLE,DISTRICTIDEOLOGY,PRIMARY VOTES,PRIMARY %,PRIMARYPERCENT,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",GE WINNER INDICATOR,FOOTNOTES
IA,Iowa,2,02,,0,1,IA02R,IA2R,1,H6IA02161,109093,109092.87,1.00,0,0,Christopher ,Peters,Christopher  Peters,"Peters, Christopher ",R,doctorpeters,415,n/a,0.65,1,28.33442417,"18,056",0.88,87.54,,,"133,287",42.60%,,,,
IA,Iowa,3,03,,0,1,IA03D,IA3D,3,H8IA03124,210181,749012.16,0.28,0,0,Cindy,Axne,Cindy Axne,"Axne, Cindy",D,Axne4Congress,668,n/a,-2.61,0,59.72672836,"32,910",0.58,57.80,,,"175,642",49.30%,,,W,
IA,Iowa,3,03,,0,1,IA03D,IA3D,3,H8IA03181,379195,749012.16,0.51,0,0,Eddie J.,Mauro,Eddie J. Mauro,"Mauro, Eddie J.",D,eddiejmauro,1251,n/a,-1.45,1,59.72672836,"15,006",0.26,26.35,,,,,,,,
IA,Iowa,3,03,,0,1,IA03D,IA3D,3,H8IA03173,159636,749012.16,0.21,0,0,Pete ,D'Alessandro,Pete  D'Alessandro,"D'Alessandro, Pete ",D,peteforiowa,1456,n/a,-2.2,1,59.72672836,"8,874",0.16,15.58,,,,,,,,
CA,California,30,30,,1,0,CA30D,CA30D,3,H6CA24113,35063,35062.94,1.00,1,1,Brad,Sherman,Brad Sherman,"Sherman, Brad",D,BradSherman,682,-0.342,-1.33,1,64.0751004,"80,038",0.62,62.30,,,"191,573",73.40%,,,W,
IA,Iowa,4,04,,0,1,IA04D,IA4D,3,H8IA04106,162700,263000.09,0.62,0,0,J.D.,Scholten,J.D. Scholten,"Scholten, J.D.",D,JDScholten,5000,n/a,-1.33,1,56.34358209,"14,733",0.51,51.26,,,"147,246",47.01%,,,,
IA,Iowa,4,04,,0,1,IA04D,IA4D,3,H8IA04122,13716,263000.09,0.05,0,0,John,Paschen,John Paschen,"Paschen, John",D,apaschenforiowa,4242,n/a,-1.95,1,56.34358209,"4,806",0.17,16.72,,,,,,,,
IA,Iowa,4,04,,0,1,IA04D,IA4D,3,H8IA04114,86585,263000.09,0.33,0,0,Leann,Jacobsen,Leann Jacobsen,"Jacobsen, Leann",D,LeannForIowa,328,n/a,-1.8,1,56.34358209,"9,176",0.32,31.92,,,,,,,,
IA,Iowa,4,04,,0,1,IA04R,IA4R,2,H8IA04148,3706,62645.21,0.06,0,1,Cyndi,Hanson,Cyndi Hanson,"Hanson, Cyndi",R,cyndihanson6,36,n/a,3.54,0,27.64364774,"9,437",0.25,25.14,,,,,,,,
FL,Florida,10,10,,0,0,FL10D,FL10D,2,H2FL08063,51709,59423.03,0.87,1,1,Val,Demings,Val Demings,"Demings, Val",D,val_demings,98,-0.34,-2.67,1,57.91585945,"73,601",0.75,75.00,,,Unopposed,100.00%,,,W,
ID,Idaho,1,01,,0,1,ID01D,ID1D,3,H8ID01165,4049,4048.80,1.00,0,0,James,Vandermaas,James Vandermaas,"Vandermaas, James",D,votevandermaas,440,n/a,-2.31,1,62.27420091,"4,337",0.16,15.84,,,,,,,,
ID,Idaho,1,01,,0,1,ID01D,ID1D,3,H8ID01215,0,4048.80,0.00,0,0,Cristina,McNeil,Cristina McNeil,"McNeil, Cristina",D,McNeil4Congress,66,n/a,n/a,1,62.27420091,"19,073",0.70,69.68,,,"96,922",30.76%,,,,
ID,Idaho,1,01,,0,1,ID01R,ID1R,7,H4ID01065,109093,218973.70,0.50,0,0,David H.,Leroy,David H. Leroy,"Leroy, David H.",R,n/a,0,n/a,n/a,1,25.80285583,"15,414",0.16,15.53,,,,,,,,
ID,Idaho,1,01,,0,1,ID01R,ID1R,7,H8ID01124,109881,218973.70,0.50,0,0,Russ,Fulcher,Russ Fulcher,"Fulcher, Russ",R,RussFulcher,688,n/a,0.63,1,25.80285583,"42,790",0.43,43.12,,,"197,719",62.75%,,,W,
ID,Idaho,2,02,,0,1,ID02D,ID2D,2,H6ID02126,0,8308.29,0.00,0,0,Peter,Rickards,Peter Rickards,"Rickards, Peter",D,1stungun,2481,n/a,n/a,1,66.0124031,"8,987",0.32,32.45,,,,,,,,
ID,Idaho,2,02,,0,1,ID02D,ID2D,2,H8ID02148,8308,8308.29,1.00,0,0,Aaron,Swisher,Aaron Swisher,"Swisher, Aaron",D,SwisherforIdaho,354,n/a,-2.41,1,66.0124031,"18,709",0.68,67.55,,,"110,381",39.33%,,,,
PA,Pennsylvania,18,18,,0,0,PA18D,PA18D,2,H4PA18131,23633,28894.64,0.82,1,1,Mike,Doyle,Mike Doyle,"Doyle, Mike",D,mikedoyleforpa,1145,-0.33,-2.13,1,56.72236615,"52,080",0.76,75.60,,,"231,472",96.08%,,,W,
MA,Massachusetts,9,09,,0,0,MA09D,MA9D,2,H0MA10082,34079,34078.68,1.00,1,1,Bill,Keating,Bill Keating,"Keating, Bill",D,WilliamKeating,1203,-0.328,-2.02,1,57.71578192,"50,015",0.85,85.27,,,"192,347",59.38%,,,W,
IL,Illinois,1,01,,0,1,IL01R,IL1R,1,H2IL01182,0,0.00,0.00,0,0,"Jimmy Lee, II",Tillman,Jimmy LeeII Tillman,"Tillman, Jimmy Lee, II",R,tillman_ii,120,n/a,0.93,1,24.72879747,"15,389",1.00,100.00,,,"50,960",19.76%,,,,
IL,Illinois,5,05,,0,1,IL05D,IL5D,4,H0IL05096,400894,438071.11,0.92,1,1,Mike,Quigley,Mike Quigley,"Quigley, Mike",D,quigleycampaign,273,-0.321,-1.4,1,62.00179775,"66,254",0.62,62.46,,,"213,992",76.66%,,,W,
IL,Illinois,2,02,,0,1,IL02D,IL2D,2,H8IL02104,514209,600000.90,0.86,0,1,Marcus,Lewis,Marcus Lewis,"Lewis, Marcus",D,marcuslewis2cd,9,n/a,-2.99,1,55.24962203,"17,640",0.18,17.95,,,,,,,,
IL,Illinois,2,02,,0,1,IL02R,IL2R,3,H8IL02120,0,0.00,0.00,0,0,David,Merkle,David Merkle,"Merkle, David",R,n/a,0,n/a,n/a,1,25.10588235,"4,963",0.37,36.59,,,"44,567",18.94%,,,,
IL,Illinois,2,02,,0,1,IL02R,IL2R,3,H8IL02112,0,0.00,0.00,0,0,Patrick ,Harmon,Patrick  Harmon,"Harmon, Patrick ",R,n/a,0,n/a,n/a,1,25.10588235,"4,810",0.35,35.46,,,,,,,,
IL,Illinois,2,02,,0,1,IL02R,IL2R,3,H6IL02199,0,0.00,0.00,0,0,John F.,Morrow,John F. Morrow,"Morrow, John F.",R,candidatemorrow,67,n/a,-1.98,1,25.10588235,"3,790",0.28,27.94,,,,,,,,
IL,Illinois,3,03,,0,1,IL03D,IL3D,2,H8IL03102,401480,913035.05,0.44,0,1,Marie,Newman,Marie Newman,"Newman, Marie",D,Marie4Congress,4885,n/a,-2.12,1,55.42181818,"46,530",0.49,48.87,,,,,,,,
IL,Illinois,8,08,,0,1,IL08D,IL8D,1,H6IL08147,118996,118996.31,1.00,1,1,Raja ,Krishnamoorthi,Raja  Krishnamoorthi,"Krishnamoorthi, Raja ",D,rajaforcongress,876,-0.312,-2.02,1,57.94537445,"44,042",1.00,100.00,,,"130,054",65.97%,,,W,
IL,Illinois,3,03,,0,1,IL03R,IL3R,1,H6IL03148,0,0.00,0.00,0,0,Arthur J.,Jones,Arthur J. Jones,"Jones, Arthur J.",R,artjonescongres,49,n/a,n/a,1,26.1338785,"20,681",1.00,100.00,,,"57,885",25.92%,,,,
IL,Illinois,4,04,,0,1,IL04D,IL4D,3,H8IL04159,160775,420595.51,0.38,0,0,Sol A.,Flores,Sol A. Flores,"Flores, Sol A.",D,solamoresflores,577,n/a,-2.28,1,54.72761126,"16,398",0.22,21.88,,,,,,,,
IL,Illinois,4,04,,0,1,IL04D,IL4D,3,H8IL04134,259820,420595.51,0.62,0,0,"Jesus ""Chuy"" ",Garcia,"Jesus ""Chuy""  Garcia","Garcia, Jesus ""Chuy"" ",D,ChuyForCongress,747,n/a,-2.32,1,54.72761126,"49,631",0.66,66.22,,,"143,895",86.59%,,,W,
IL,Illinois,4,04,,0,1,IL04R,IL4R,1,H8IL04175,0,0.00,0.00,0,0,Mark Wayne,Lorch,Mark Wayne Lorch,"Lorch, Mark Wayne",R,marklorch,99,n/a,-3.25,1,27.97013889,"5,805",1.00,100.00,,,"22,294",13.41%,,,,
TX,Texas,34,34,,0,1,TX34D,TX34D,1,H2TX27190,34042,34042.47,1.00,1,1,Filemon B.,Vela,Filemon B. Vela,"Vela, Filemon B.",D,repfilemonvela,423,-0.312,-2.28,1,49.98029514,"25,344",1.00,100.00,,,"85,825",59.99%,,,W,
IL,Illinois,5,05,,0,1,IL05D,IL5D,4,H8IL05123,37177,438071.11,0.08,0,1,Sameena,Mustafa,Sameena Mustafa,"Mustafa, Sameena",D,SameenaMustafa,1830,n/a,-2.04,1,62.00179775,"25,591",0.24,24.13,,,,,,,,
IL,Illinois,5,05,,0,1,IL05R,IL5R,1,H8IL05073,0,0.00,0.00,0,0,Tom,Hanson,Tom Hanson,"Hanson, Tom",R,n/a,0,n/a,n/a,1,28.86295455,"18,837",1.00,100.00,,,"65,134",23.33%,,,,
IL,Illinois,6,06,,0,1,IL06D,IL6D,7,H8IL06139,171309,797548.99,0.21,0,0,Sean,Casten,Sean Casten,"Casten, Sean",D,SeanCasten,509,-0.406,-1.67,1,61.46692913,"19,774",0.30,29.51,,,"169,001",53.58%,,,W,
IL,Illinois,6,06,,0,1,IL06D,IL6D,7,H8IL06147,112030,797548.99,0.14,0,0,Carole,Cheney,Carole Cheney,"Cheney, Carole",D,carole4il06,681,n/a,-3.2,1,61.46692913,"11,663",0.17,17.40,,,,,,,,
IL,Illinois,6,06,,0,1,IL06D,IL6D,7,H8IL06121,514209,797548.99,0.64,0,0,Kelly,Mazeski,Kelly Mazeski,"Mazeski, Kelly",D,KellyMazeski,470,n/a,-2.28,1,61.46692913,"17,984",0.27,26.84,,,,,,,,
WA,Washington,10,10,,1,0,WA10D,WA10D,1,H0WA03161,47872,47871.57,1.00,1,1,Denny,Heck,Denny Heck,"Heck, Denny",D,DennyHeck,84,-0.311,-3,1,56.72827988,"82,552",0.58,58.16,,,"166,215",61.54%,,,W,
CA,California,3,03,,1,0,CA03D,CA3D,2,H0CA10149,91352,91351.93,1.00,1,1,John,Garamendi,John Garamendi,"Garamendi, John",D,JohnGaramendi,1206,-0.309,-0.03,1,62.74078356,"74,552",0.54,53.59,,,"134,875",58.07%,,,W,
IL,Illinois,7,07,,0,1,IL07D,IL7D,2,H8IL07103,25679,45873.33,0.56,0,1,Anthony V.,Clark,Anthony V. Clark,"Clark, Anthony V.",D,anthonyvclark20,3424,n/a,-2.33,1,58.16584976,"28,867",0.26,26.14,,,,,,,,
IL,Illinois,7,07,,0,1,IL07R,IL7R,2,H6IL07305,0,3061.29,0.00,0,0,Jeffrey A.,Leef,Jeffrey A. Leef,"Leef, Jeffrey A.",R,leef2016gop,42,n/a,0.85,1,32.6836478,"2,873",0.44,43.67,,,,,,,,
IL,Illinois,7,07,,0,1,IL07R,IL7R,2,H8IL17045,3061,3061.29,1.00,0,0,Craig,Cameron,Craig Cameron,"Cameron, Craig",R,CraigCameron07,168,n/a,n/a,1,32.6836478,"3,706",0.56,56.33,,,"30,497",12.38%,,,,
WA,Washington,6,06,,1,0,WA06D,WA6D,1,H2WA06129,31822,31822.36,1.00,1,1,Derek,Kilmer,Derek Kilmer,"Kilmer, Derek",D,DerekKilmer,231,-0.309,-2.21,1,55.87452949,"117,848",0.64,63.50,,,"206,409",63.89%,,,W,
IL,Illinois,8,08,,0,1,IL08R,IL8R,1,H8IL08101,8376,8376.34,1.00,0,0,"Jitendra ""JD""",Diganvker,"Jitendra ""JD"" Diganvker","Diganvker, Jitendra ""JD""",R,diganvker,4900,n/a,0.28,1,25.41587031,"25,448",1.00,100.00,,,"67,073",34.03%,,,,
CA,California,20,20,,1,0,CA20D,CA20D,2,H6CA20152,52619,52619.20,1.00,1,1,Jimmy,Panetta,Jimmy Panetta,"Panetta, Jimmy",D,JimmyPanetta,71,-0.304,n/a,1,64.66877229,"102,828",0.81,80.67,,,"183,677",81.37%,,,W,
IL,Illinois,9,09,,0,1,IL09R,IL9R,4,H8IL09190,31895,31894.84,1.00,0,0,Sargis,Sangari,Sargis Sangari,"Sangari, Sargis",R,votesangari,14,n/a,3.47,0,26.44803738,"7,954",0.31,30.65,,,,,,,,
IL,Illinois,9,09,,0,1,IL09R,IL9R,4,H8IL09208,0,31894.84,0.00,0,0,John D.,Elleson,John D. Elleson,"Elleson, John D.",R,johnelleson,116,n/a,2.84,0,26.44803738,"10,476",0.40,40.37,,,"76,983",26.51%,,,,
IL,Illinois,9,09,,0,1,IL09R,IL9R,4,H8IL09182,0,31894.84,0.00,0,0,"D. Vincent, Jr.",Thomas,D. Vincent Thomas,"Thomas, D. Vincent, Jr.",R,DVincentThomas,71,n/a,-1.53,1,26.44803738,"4,886",0.19,18.83,,,,,,,,
NV,Nevada,1,01,,0,0,NV01D,NV1D,2,H8NV03036,54531,65979.38,0.83,1,1,Dina,Titus,Dina Titus,"Titus, Dina",D,dinatitus,1289,-0.302,-2.05,1,60.59501868,"20,898",0.79,78.69,,,"100,707",66.17%,,,W,
IL,Illinois,10,10,,0,1,IL10R,IL10R,3,H8IL10131,319366,484483.93,0.66,0,0,Sapan,Shah,Sapan Shah,"Shah, Sapan",R,drsapanshah,102,n/a,1.23,0,26.42407681,"8,841",0.29,29.05,,,,,,,,
IL,Illinois,10,10,,0,1,IL10R,IL10R,3,H8IL10123,124410,484483.93,0.26,0,0,Jeremy ,Wynes,Jeremy  Wynes,"Wynes, Jeremy ",R,JeremyWynes,1477,n/a,0.44,1,26.42407681,"10,556",0.35,34.69,,,,,,,,
IL,Illinois,10,10,,0,1,IL10R,IL10R,3,H8IL10115,40708,484483.93,0.08,0,0,Douglas R.,Bennett,Douglas R. Bennett,"Bennett, Douglas R.",R,n/a,0,n/a,n/a,1,26.42407681,"11,026",0.36,36.23,,,"82,124",34.41%,,,,
GA,Georgia,13,13,,0,1,GA13D,GA13D,1,H2GA13012,50685,50684.52,1.00,1,1,David,Scott,David Scott,"Scott, David",D,Electdavidscott,1107,-0.301,-2.4,1,54.90623209,"56,216",1.00,100.00,,,"223,157",76.16%,,,W,
IL,Illinois,11,11,,0,1,IL11R,IL11R,2,H6IL18146,140717,155277.78,0.91,0,0,"Constant G. ""Connor""",Vlakancic,"Constant G. ""Connor"" Vlakancic","Vlakancic, Constant G. ""Connor""",R,connorvlakancic,243,n/a,0.73,1,25.94435484,"6,253",0.21,20.67,,,,,,,,
IL,Illinois,11,11,,0,1,IL11R,IL11R,2,H6IL11133,14561,155277.78,0.09,0,0,Nick,Stella,Nick Stella,"Stella, Nick",R,n/a,0,n/a,n/a,1,25.94435484,"23,992",0.79,79.33,,,"82,358",36.16%,,,,
IL,Illinois,12,12,,0,1,IL12D,IL12D,2,H8IL12129,96095,99156.16,0.97,0,0,Brendan,Kelly,Brendan Kelly,"Kelly, Brendan",D,Kelly4SouthrnIL,0,n/a,n/a,1,51.7743349,"40,555",0.81,80.98,,,"118,724",45.39%,,,,
IL,Illinois,12,12,,0,1,IL12D,IL12D,2,H8IL12103,3061,99156.16,0.03,0,0,David,Bequette,David Bequette,"Bequette, David",D,dbequette,760,n/a,-2.17,1,51.7743349,"9,526",0.19,19.02,,,,,,,,
CA,California,24,24,,1,0,CA24D,CA24D,1,H6CA24303,137663,137663.09,1.00,1,1,Salud,Carbajal,Salud Carbajal,"Carbajal, Salud",D,carbajalsalud,731,-0.3,-1.55,1,67.22627021,"94,558",0.54,53.59,,,"166,550",58.56%,,,W,
IL,Illinois,12,12,,0,1,IL12R,IL12R,2,H8IL12160,0,61460.78,0.00,0,1,Preston,Nelson,Preston Nelson,"Nelson, Preston",R,preston4congres,147,n/a,1,1,22.91646341,"6,258",0.17,16.50,,,,,,,,
IL,Illinois,13,13,,0,1,IL13D,IL13D,5,H8IL13168,188783,466080.66,0.41,0,0,Erik ,Jones,Erik  Jones,"Jones, Erik ",D,erikjones4il,858,n/a,-2.57,1,54.03616558,"12,024",0.22,22.39,,,,,,,,
IL,Illinois,13,13,,0,1,IL13D,IL13D,5,H8IL13150,277298,466080.66,0.59,0,0,Betsy Dirksen,Londrigan,Betsy Dirksen Londrigan,"Londrigan, Betsy Dirksen",D,betsyforil,547,n/a,-2.59,1,54.03616558,"24,515",0.46,45.65,,,"134,458",49.62%,,,,
MD,Maryland,2,02,,0,0,MD02D,MD2D,2,H2MD02160,83160,83951.21,0.99,1,1,C. A. Dutch,Ruppersberger,C. A. Dutch Ruppersberger,"Ruppersberger, C. A. Dutch",D,call_me_dutch,2227,-0.295,-0.31,1,57.00690823,"47,776",0.78,78.09,,,"167,201",66.01%,,,W,
IL,Illinois,14,14,,0,1,IL14D,IL14D,7,H8IL14174,98256,98255.62,1.00,0,0,Lauren,Underwood,Lauren Underwood,"Underwood, Lauren",D,LaurenUnderwood,242,-0.568,-2.36,1,58.73947773,"29,391",0.57,57.35,,,"156,035",52.50%,,,W,
CA,California,31,31,,1,0,CA31D,CA31D,2,H2CA31125,193513,193512.58,1.00,1,1,Pete,Aguilar,Pete Aguilar,"Aguilar, Pete",D,aguilarpete,649,-0.291,-1.9,1,59.74290634,"41,337",0.46,45.90,,,"110,143",58.74%,,,W,
IL,Illinois,15,15,,0,1,IL15D,IL15D,2,H8IL15072,8397,15071.41,0.56,0,0,Kevin,Gaither,Kevin Gaither,"Gaither, Kevin",D,Gaither4IL,2405,n/a,-0.88,1,48.90352782,"17,300",0.62,62.07,,,"74,309",29.07%,,,,
IL,Illinois,15,15,,0,1,IL15D,IL15D,2,H8IL15056,6675,15071.41,0.44,0,0,Carl ,Spoerer,Carl  Spoerer,"Spoerer, Carl ",D,carlresists,5000,n/a,-1.56,1,48.90352782,"10,573",0.38,37.93,,,,,,,,
CA,California,26,26,,1,0,CA26D,CA26D,2,H2CA00120,125628,125628.08,1.00,1,1,Julia,Brownley,Julia Brownley,"Brownley, Julia",D,JuliaBrownley,53,-0.286,-2.46,1,63.1556231,"72,764",0.54,54.11,,,"158,216",61.94%,,,W,
IL,Illinois,16,16,,0,1,IL16D,IL16D,4,H8IL16120,51899,91685.41,0.57,0,0,Sara ,Dady,Sara  Dady,"Dady, Sara ",D,Sara4Congress,361,n/a,-1.3,1,54.13372607,"17,173",0.40,40.32,,,"104,569",40.88%,,,,
IL,Illinois,16,16,,0,1,IL16D,IL16D,4,H8IL16146,1293,91685.41,0.01,0,0,"Amy ""Murri""",Briel,"Amy ""Murri"" Briel","Briel, Amy ""Murri""",D,MurriBrielIL16,4892,n/a,-2.64,1,54.13372607,"8,291",0.19,19.47,,,,,,,,
IL,Illinois,16,16,,0,1,IL16D,IL16D,4,H8IL16096,38493,91685.41,0.42,0,0,Neill,Mohammad,Neill Mohammad,"Mohammad, Neill",D,neill4illinois,663,n/a,-2.43,1,54.13372607,"11,599",0.27,27.23,,,,,,,,
MA,Massachusetts,6,06,,0,0,MA06D,MA6D,1,H4MA06090,185385,185385.13,1.00,1,1,Seth ,Moulton,Seth  Moulton,"Moulton, Seth ",D,sethmoulton,2449,-0.286,-1.72,1,61.09548763,"59,326",0.99,98.99,,,"217,703",65.19%,,,W,
IL,Illinois,16,16,,0,1,IL16R,IL16R,2,H8IL16153,47293,456206.28,0.10,0,1,"James T. ""Jim"" ",Marter,"James T. ""Jim""  Marter","Marter, James T. ""Jim"" ",R,marter4congress,5000,n/a,3.34,1,23.50208696,"21,242",0.32,32.13,,,,,,,,
WA,Washington,9,09,,1,0,WA09D,WA9D,2,H6WA09025,20513,27109.46,0.76,1,1,Adam,Smith,Adam Smith,"Smith, Adam",D,electadamsmith,113,-0.284,-2.42,1,60.65928705,"71,035",0.48,48.42,,,"163,345",67.90%,,,W,
IL,Illinois,17,17,,0,1,IL17R,IL17R,1,H4IL17077,703,703.40,1.00,0,0,"William W. ""Bill"" ",Fawell,"William W. ""Bill""  Fawell","Fawell, William W. ""Bill"" ",R,realBillFawell,409,n/a,1.09,1,23.32372414,"38,411",1.00,100.00,,,"87,090",37.91%,,,,
IL,Illinois,18,18,,0,1,IL18D,IL18D,3,H8IL18092,8814,15311.94,0.58,0,0,Brian J.,Deters,Brian J. Deters,"Deters, Brian J.",D,n/a,0,n/a,n/a,1,53.50174603,"14,189",0.39,39.48,,,,,,,,
IL,Illinois,18,18,,0,1,IL18D,IL18D,3,H4IL18117,0,15311.94,0.00,0,0,Darrel,Miller,Darrel Miller,"Miller, Darrel",D,n/a,0,n/a,n/a,1,53.50174603,"6,757",0.19,18.80,,,,,,,,
IL,Illinois,18,18,,0,1,IL18D,IL18D,3,H6IL18161,6498,15311.94,0.42,0,0,Junius,Rodriguez,Junius Rodriguez,"Rodriguez, Junius",D,18thIL,721,n/a,-2.42,1,53.50174603,"14,990",0.42,41.71,,,"95,486",32.77%,,,,
IL,Illinois,18,18,,0,1,IL18R,IL18R,2,H6IL18138,24345,89849.41,0.27,0,1,Donald Ray,Rients,Donald Ray Rients,"Rients, Donald Ray",R,n/a,0,n/a,n/a,1,22.63861319,"16,535",0.21,21.13,,,,,,,,
GA,Georgia,2,02,,0,1,GA02D,GA2D,1,H2GA02031,72579,72579.07,1.00,1,1,Sanford ,Bishop,Sanford  Bishop,"Bishop, Sanford ",D,sanfordbishop,783,-0.282,-2.35,1,47.55400495,"42,855",1.00,100.00,,,"136,699",59.65%,,,W,
CO,Colorado,7,07,,0,0,CO07D,CO7D,1,H6CO07023,188340,188339.95,1.00,1,1,Ed,Perlmutter,Ed Perlmutter,"Perlmutter, Ed",D,ed4colorado,1196,-0.281,-2.37,1,64.30439883,"81,991",1.00,100.00,,,"204,260",60.42%,,,W,
IN,Indiana,1,01,,0,1,IN01R,IN1R,6,H8IN01179,8397,8396.64,1.00,0,0,Roseann P.,Ivanovich,Roseann P. Ivanovich,"Ivanovich, Roseann P.",R,ivanovich4house,42,n/a,1.06,1,25.70126984,"4,318",0.20,19.55,,,,,,,,
IN,Indiana,1,01,,0,1,IN01R,IN1R,6,H8IN01096,0,8396.64,0.00,0,0,Mark,Leyva,Mark Leyva,"Leyva, Mark",R,n/a,0,n/a,n/a,1,25.70126984,"5,960",0.27,26.99,,,"85,594",34.91%,,,,
IN,Indiana,1,01,,0,1,IN01R,IN1R,6,H6IN01207,0,8396.64,0.00,0,0,John,Meyer,John Meyer,"Meyer, John",R,n/a,0,n/a,n/a,1,25.70126984,"4,328",0.20,19.60,,,,,,,,
IN,Indiana,1,01,,0,1,IN01R,IN1R,6,H8IN01187,0,8396.64,0.00,0,0,Nicholas,Pappas,Nicholas Pappas,"Pappas, Nicholas",R,n/a,0,n/a,n/a,1,25.70126984,"4,311",0.20,19.52,,,,,,,,
IN,Indiana,2,02,,0,1,IN02D,IN2D,6,H8IN02185,58818,303718.78,0.19,0,0,Joshi,Yatish,Joshi Yatish,"Yatish, Joshi",D,joshiforindiana,470,n/a,-2.53,1,54.03070776,"8,165",0.22,22.09,,,,,,,,
IN,Indiana,2,02,,0,1,IN02D,IN2D,6,H8IN02169,232785,303718.78,0.77,0,0,Mel,Hall,Mel Hall,"Hall, Mel",D,melforcongress,33,n/a,n/a,1,54.03070776,"15,402",0.42,41.67,,,"103,363",45.16%,,,,
IN,Indiana,2,02,,0,1,IN02D,IN2D,6,H8IN02177,12116,303718.78,0.04,0,0,Pat ,Hackett,Pat  Hackett,"Hackett, Pat ",D,HackettCongress,905,n/a,-2.04,1,54.03070776,"10,429",0.28,28.21,,,,,,,,
WA,Washington,1,01,,1,0,WA01D,WA1D,1,H0WA08046,30212,30211.94,1.00,1,1,Suzan,DelBene,Suzan DelBene,"DelBene, Suzan",D,SuzanDelBene,535,-0.28,-2.22,1,59.02495726,"106,107",0.59,59.30,,,"197,209",59.27%,,,W,
IN,Indiana,2,02,,0,1,IN02R,IN2R,2,H8IN02151,130519,186576.14,0.70,0,1,Mark,Summe,Mark Summe,"Summe, Mark",R,n/a,0,n/a,n/a,1,22.31898017,"11,684",0.21,21.36,,,,,,,,
IN,Indiana,3,03,,0,1,IN03D,IN3D,3,H8IN03076,22261,22261.21,1.00,0,0,Courtney,Tritch,Courtney Tritch,"Tritch, Courtney",D,CourtneyTritch,37,n/a,-1.42,1,55.07027464,"16,376",0.79,79.05,,,"86,610",35.27%,,,,
CA,California,46,46,,1,0,CA46D,CA46D,1,H6CA46116,19683,19683.27,1.00,1,1,Lou,Correa,Lou Correa,"Correa, Lou",D,voteloucorrea,1,-0.279,n/a,1,62.25609568,"43,700",0.62,62.24,,,"102,278",69.15%,,,W,
IN,Indiana,4,04,,0,1,IN04D,IN4D,6,H8IN04256,0,703.40,0.00,0,0,Veronikka M.,Ziol,Veronikka M. Ziol,"Ziol, Veronikka M.",D,ziol_4_in_4th,31,n/a,-2.44,1,54.82586466,"3,938",0.21,21.06,,,,,,,,
IN,Indiana,4,04,,0,1,IN04D,IN4D,6,H8IN04124,0,703.40,0.00,0,0,Tobi ,Beck,Tobi  Beck,"Beck, Tobi ",D,beckforindiana,3224,n/a,-2.09,1,54.82586466,"6,467",0.35,34.58,,,"87,824",35.94%,,,,
IN,Indiana,4,04,,0,1,IN04D,IN4D,6,H8IN04140,703,703.40,1.00,0,0,Joseph W.,Mackey,Joseph W. Mackey,"Mackey, Joseph W.",D,joe4hoosiers,90,n/a,-2.77,1,54.82586466,"3,013",0.16,16.11,,,,,,,,
IN,Indiana,4,04,,0,1,IN04R,IN4R,7,H8IN04199,73407,394248.88,0.19,0,0,Jim,Baird,Jim Baird,"Baird, Jim",R,ElectJimBaird,149,n/a,1.17,1,23.16455256,"29,319",0.37,36.59,,,"156,539",64.06%,,,W,
IN,Indiana,4,04,,0,1,IN04R,IN4R,7,H8IN04165,320842,394248.88,0.81,0,0,Steve,Braun,Steve Braun,"Braun, Steve",R,senatorbraun,186,n/a,0.9,1,23.16455256,"23,602",0.29,29.45,,,,,,,,
IN,Indiana,5,05,,0,1,IN05D,IN5D,5,H8IN05188,1676,2055.93,0.82,0,0,Dee,Thornton,Dee Thornton,"Thornton, Dee",D,VoteThornton,294,n/a,-2.4,1,58.78903553,"18,073",0.53,52.98,,,"137,142",43.24%,,,,
IN,Indiana,5,05,,0,1,IN05D,IN5D,5,H8IN05204,380,2055.93,0.18,0,0,Kyle,Moore,Kyle Moore,"Moore, Kyle",D,kyleforcongress,33,n/a,n/a,1,58.78903553,"8,077",0.24,23.68,,,,,,,,
HI,Hawaii,2,02,,0,1,HI02D,HI2D,3,H2HI02508,67469,67469.11,1.00,1,1,Tulsi,Gabbard,Tulsi Gabbard,"Gabbard, Tulsi",D,tulsigabbard,3431,-0.279,-1.33,1,n/a,"94,665",0.84,83.55,,,"153,271",77.36%,,,W,
IN,Indiana,6,06,,0,1,IN06D,IN6D,6,H2IN06189,4118,226035.28,0.02,0,0,Lane,Siekman,Lane Siekman,"Siekman, Lane",D,LaneSiekman,1171,n/a,-2,1,52.54152203,"3,612",0.16,15.57,,,,,,,,
